A

69.41

70.15

70.37

69.5

69.85

69.58

69.89

69.09

68.7

70.13

69.59

69.95

70.55

71.65

71.74

73.37

73.45

73.84

75.75

76.8

75.61

75.78

74.67

73.19

72.14

72.51

73.14

73.34

73.32

72.65

71.91

70.29

69.97

70.3

70.29

70.09

70.29

69.52

69.16

68.35

67.95

66.99

67.05

66.89

67.3

67.08

68.36

67.7

67.97

68.32

68.93

69.11

69.3

67.64

76.01

73.84

77.1

77

76.61

76.67

79.35

79.29

78.2

77.47

78.5

77.33

77.42

76.72

75.79

75.56

75.57

76.17

75.43

77.55

80.4

80.98

81.08

81.68

81.42

81.69

81.47

80.83

81.94

81.14

81.56

80.38

79.7

79

80.65

79.52

78.99

82

80.92

81.2

80.97

81.1

80.61

80.13

79.93

79.3
