timestamp,open,high,low,close,volume
2019-07-31,3.7500,3.8500,3.6200,3.6600,2304478
2019-07-30,3.6600,3.7700,3.6000,3.7300,1359915
2019-07-29,3.8300,3.8900,3.6400,3.6500,2066358
2019-07-26,3.5300,3.7200,3.5300,3.6500,1508040
2019-07-25,3.6800,3.6850,3.5000,3.5300,2052138
2019-07-24,3.6700,3.7100,3.5200,3.6600,1987719
2019-07-23,3.4800,3.7900,3.4600,3.6700,3676241
2019-07-22,3.6000,3.6600,3.4000,3.4400,2417078
2019-07-19,3.3800,3.4200,3.2600,3.4000,1463047
2019-07-18,3.4500,3.5600,3.3700,3.3900,1944080
2019-07-17,3.2700,3.5350,3.1800,3.4000,2725140
2019-07-16,3.5200,3.5550,3.2000,3.2700,5214974
2019-07-15,3.7400,3.7400,3.4100,3.5100,4812960
2019-07-12,4.0500,4.0800,3.6900,3.7000,4548174
2019-07-11,4.3700,4.3700,4.0219,4.0500,4435675
2019-07-10,5.0500,5.0800,4.3234,4.3600,9959381
2019-07-09,6.6700,6.8900,6.5400,6.8100,691749
2019-07-08,7.2800,7.2800,6.6100,6.7400,1162281
2019-07-05,6.9100,7.0700,6.6500,6.6600,550239
2019-07-03,6.9200,7.0650,6.8500,6.9700,243690
2019-07-02,7.1200,7.1200,6.7100,6.9100,702735
2019-07-01,7.2600,7.4704,7.0300,7.1000,1186147
2019-06-28,7.1400,7.4800,7.1400,7.1700,1990177
2019-06-27,6.8800,7.2750,6.8800,7.0900,754696
2019-06-26,6.6300,6.9200,6.5800,6.8600,1289850
2019-06-25,6.4700,6.7300,6.2300,6.5900,2617846
2019-06-24,6.8700,6.9600,6.3750,6.4400,1132778
2019-06-21,6.8600,7.1800,6.6800,6.9000,1028957
2019-06-20,6.8900,7.1400,6.7600,6.9100,1511437
2019-06-19,7.0100,7.0500,6.5500,6.7900,2528695
2019-06-18,6.9800,7.2800,6.8900,7.0000,724750
2019-06-17,6.8600,7.0100,6.7700,6.9000,1442524
2019-06-14,7.3100,7.3300,6.8400,6.8700,974818
2019-06-13,7.3800,7.4500,7.1500,7.3400,554035
2019-06-12,7.4300,7.5850,7.1900,7.3200,720261
2019-06-11,7.7100,7.7400,7.3550,7.4500,985620
2019-06-10,7.7300,7.8200,7.6200,7.6900,777044
2019-06-07,7.7900,7.9000,7.6200,7.6500,665319
2019-06-06,7.9800,8.0100,7.5700,7.7500,1052634
2019-06-05,8.1300,8.1760,7.4900,7.9700,1730527
2019-06-04,8.0600,8.3700,7.9500,8.1100,793016
2019-06-03,7.5400,8.0500,7.5400,7.9500,1149076
2019-05-31,7.7100,7.8300,7.3820,7.5400,1213170
2019-05-30,8.1500,8.3750,7.7250,7.8100,1161602
2019-05-29,7.9100,8.2200,7.6650,8.1200,1586859
2019-05-28,8.3900,8.5278,7.8750,8.0000,1293189
2019-05-24,8.2500,8.3300,7.9000,8.2900,975859
2019-05-23,8.5000,8.5758,8.2150,8.2500,963482
2019-05-22,9.1400,9.2799,8.5300,8.6300,1343034
2019-05-21,9.1100,9.5000,8.8800,9.1300,2276502
2019-05-20,8.5300,8.6600,8.2000,8.2600,713970
2019-05-17,8.7300,8.9737,8.5100,8.5700,778044
2019-05-16,8.7400,9.0600,8.6000,8.7200,1099813
2019-05-15,9.0000,9.1000,8.2300,8.7100,2626516
2019-05-14,9.2100,9.5700,8.9800,9.0700,2234113
2019-05-13,9.9000,10.0400,8.8600,8.9100,2703504
2019-05-10,10.9000,11.1500,10.2200,10.4200,2921825
2019-05-09,11.7600,12.0500,10.5800,11.0400,2711251
2019-05-08,13.4100,13.6600,13.1100,13.1400,1309214
2019-05-07,13.9100,14.0400,13.3500,13.4400,992768
2019-05-06,13.4100,14.3000,13.4100,14.0500,728206
2019-05-03,13.4000,13.8050,13.2000,13.6900,534555
2019-05-02,12.6200,13.3400,12.6200,13.3200,464563
2019-05-01,12.9000,12.9100,12.6200,12.6700,512318
2019-04-30,12.8000,12.9200,12.5300,12.8700,643976
2019-04-29,12.5100,12.9100,12.3700,12.8400,406639
2019-04-26,12.4200,12.5400,12.2700,12.4300,482023
2019-04-25,12.4300,12.4300,12.0400,12.3700,426008
2019-04-24,12.8900,13.0000,12.4400,12.4600,529981
2019-04-23,12.8600,13.0500,12.6300,12.8600,587538
2019-04-22,12.6700,12.9500,12.5800,12.8300,864195
2019-04-18,12.4800,12.8400,12.3000,12.7000,1149088
2019-04-17,13.7400,13.7617,12.2840,12.5100,2608986
2019-04-16,13.4200,13.7300,13.3260,13.6800,641765
2019-04-15,13.0800,13.3100,12.9200,13.2800,622904
2019-04-12,13.5300,13.6600,12.9400,13.0300,442784
2019-04-11,13.7700,13.7700,13.2700,13.4200,429487
2019-04-10,13.7400,13.8900,13.5900,13.7200,521703
2019-04-09,13.9500,14.0000,13.5100,13.7200,511134
2019-04-08,14.1100,14.1900,13.8300,14.0000,484215
2019-04-05,14.2600,14.5200,14.1000,14.1000,769132
2019-04-04,14.2400,14.6500,14.1900,14.2600,572544
2019-04-03,14.0800,14.5800,13.9800,14.2900,799711
2019-04-02,14.2500,14.2500,13.7600,13.9500,669933
2019-04-01,14.3000,14.5500,14.1400,14.2900,517295
2019-03-29,14.0600,14.4400,13.9350,14.1700,593341
2019-03-28,14.2300,14.3100,13.8500,13.9900,389933
2019-03-27,14.3300,14.5700,14.0600,14.2300,778005
2019-03-26,13.9200,14.4200,13.8615,14.3600,787823
2019-03-25,14.0900,14.1600,13.6000,13.8200,569749
2019-03-22,14.4400,14.5200,13.8700,14.0500,680879
2019-03-21,14.1400,14.6000,14.1400,14.5300,460412
2019-03-20,14.5100,14.5100,14.0400,14.3000,738496
2019-03-19,14.5400,14.6500,14.1300,14.4100,910096
2019-03-18,13.9000,14.7900,13.8400,14.3400,1302754
2019-03-15,14.0200,14.0400,13.5000,13.9400,2460836
2019-03-14,13.7300,14.1100,13.4900,13.9400,2261172
2019-03-13,12.7200,14.0350,12.5400,13.8500,2848274
2019-03-12,11.9800,12.4000,11.8000,12.2800,778636
2019-03-11,11.8800,12.0200,11.6300,11.8700,713562
